StudentID,FullName,Email,Faculty,Department,Level
ICTU20215378,Joel Dejon,joeldejon49@hotmail.com,ICT,NET,4
ICTU20211677,Amina Bello,aminabello67@yahoo.com,ICT,SEN,4
ICTU20247491,Carlos Mengue,carlosmengue53@yahoo.fr,BMS,HRM,1
ICTU20238820,Fatima Nkrumah,fatima.nkrumah@live.fr,ICT,AIR,2
ICTU20238094,Thomas Eba,thomas_eba@yahoo.fr,BMS,LOG,2
ICTU20234061,Grace Owona,graceowona58@hotmail.com,BMS,HRM,2
ICTU20231095,Ibrahim Tchamba,ibrahim_tchamba@gmail.com,ICT,SEN,2
ICTU20217568,Pauline Etoga,paulineetoga73@outlook.com,BMS,HRM,4
ICTU20222162,David Essono,david.essono@ictuniversity.edu.cm,BMS,ACC,3
ICTU20211722,Carine Mba,carine_mba@hotmail.com,ICT,NET,4
ICTU20215534,Samuel Nguema,samuelnguema50@yahoo.com,BMS,MGT,4
ICTU20247440,Ngozi Abena,ngoziabena88@hotmail.com,ICT,AIR,1
ICTU20238343,Pierre Mbarga,pierre.mbarga@gmail.com,ICT,NET,2
ICTU20225060,Adaeze Atangana,adaeze_atangana@gmail.com,BMS,ACC,3
ICTU20211799,Franck Manga,franck_manga22@yahoo.fr,BMS,IBS,4
ICTU20236685,Binta Ngono,binta_ngono90@icloud.com,ICT,NET,2
ICTU20248109,Kevin Fouda,kevin_fouda82@hotmail.com,ICT,CYS,1
ICTU20221524,Nadia Bikele,nadia.bikele@yahoo.com,ICT,DAN,3
ICTU20226862,Eric Zang,ericzang@yahoo.fr,BMS,MKT,3
ICTU20211880,Solange Nkoa,solange.nkoa13@live.fr,BMS,LOG,4
ICTU20248638,Alain Ntono,alain_ntono25@yahoo.fr,ICT,AIR,1
ICTU20242543,Mariama Bekono,mariama_bekono91@yahoo.com,BMS,FIN,1
ICTU20235486,Jean Mvondo,jean_mvondo@gmail.com,BMS,FIN,2
ICTU20227483,Aisha Enama,aishaenama64@hotmail.com,BMS,ENT,3
ICTU20243250,Boris Oyono,boris_oyono@outlook.com,BMS,HRM,1
ICTU20246069,Christelle Akame,christelle_akame80@yahoo.fr,BMS,IBS,1
ICTU20248091,Moussa Medou,moussamedou95@yahoo.fr,ICT,MIS,1
ICTU20248444,Sandra Nkodo,sandra.nkodo36@gmail.com,ICT,AIR,1
ICTU20249149,Patrice Beti,patrice.beti@ictuniversity.edu.cm,BMS,LOG,1
ICTU20236665,Laure Ekono,laure.ekono@yahoo.com,BMS,MKT,2
ICTU20228184,Sylvain Tabi,sylvaintabi@icloud.com,BMS,ENT,3
ICTU20244894,Aminata Meyong,aminata.meyong49@outlook.com,ICT,ISN,1
ICTU20226990,Georges Ndoumbe,georges_ndoumbe47@icloud.com,ICT,CYS,3
ICTU20213267,Blessing Ekollo,blessing_ekollo@gmail.com,BMS,LOG,4
ICTU20234820,Rodrigue Minko,rodrigue_minko@outlook.com,ICT,ISN,2
ICTU20217276,Edith Ndzana,edithndzana27@hotmail.com,BMS,MGT,4
ICTU20229477,Abdou Meye,abdou.meye@ictuniversity.edu.cm,ICT,SEN,3
ICTU20243951,Prisca Biyong,prisca.biyong2@live.fr,BMS,MKT,1
ICTU20217159,Luc Effa,luc_effa7@live.fr,BMS,IBS,4
ICTU20218290,Miriam Ndi,miriam.ndi@ictuniversity.edu.cm,BMS,HRM,4
ICTU20212851,Serge Kameni,sergekameni@outlook.com,BMS,MGT,4
ICTU20237100,Fatoumata Tchoupo,fatoumata_tchoupo@yahoo.fr,ICT,CSC,2
ICTU20245875,Cedric Wouassi,cedricwouassi@outlook.com,ICT,ISN,1
ICTU20214222,Josephine Nkengne,josephinenkengne53@yahoo.fr,ICT,CSC,4
ICTU20222759,Herve Teukam,herve.teukam55@icloud.com,ICT,CSC,3
ICTU20245712,Raissa Simo,raissasimo93@outlook.com,BMS,MKT,1
ICTU20237677,Bouba Feudjio,bouba_feudjio31@icloud.com,ICT,SEN,2
ICTU20236754,Charlotte Mboyo,charlotte.mboyo89@icloud.com,ICT,ISN,2
ICTU20232742,Thierry Pekam,thierry_pekam8@yahoo.com,ICT,NET,2
ICTU20228974,Awa Djoumessi,awa_djoumessi81@outlook.com,ICT,ISN,3
ICTU20247704,Damien Tiemeni,damien_tiemeni@live.fr,BMS,ACC,1
ICTU20236449,Euphrasie Wouassi,euphrasiewouassi63@hotmail.com,ICT,DAN,2
ICTU20214360,Noel Kamgang,noelkamgang@hotmail.com,ICT,ISN,4
ICTU20247783,Constance Kenmogne,constance_kenmogne@outlook.com,BMS,ENT,1
ICTU20223004,Arnaud Nzefa,arnaud.nzefa@ictuniversity.edu.cm,ICT,CSC,3
ICTU20223180,Yolande Dongmo,yolandedongmo@live.fr,ICT,AIR,3
ICTU20211853,Didier Tchinda,didier_tchinda40@hotmail.com,ICT,ISN,4
ICTU20227853,Madeleine Kenfack,madeleine.kenfack@icloud.com,ICT,SEN,3
ICTU20222524,Remi Noubissie,remi.noubissie@ictuniversity.edu.cm,BMS,MKT,3
ICTU20244937,Clarisse Takam,clarisse_takam38@gmail.com,BMS,HRM,1
ICTU20226926,Stephane Djouaka,stephane.djouaka33@yahoo.com,BMS,IBS,3
ICTU20215585,Veronique Kamta,veronique.kamta67@gmail.com,BMS,MKT,4
ICTU20217621,Maxime Ngaleu,maxime_ngaleu@yahoo.com,ICT,SEN,4
ICTU20229796,Therese Wamba,therese_wamba@yahoo.com,BMS,FIN,3
ICTU20224502,Fabrice Nzikou,fabrice_nzikou@yahoo.com,BMS,IBS,3
ICTU20229693,Bernadette Lekane,bernadette_lekane@icloud.com,ICT,ISN,3
ICTU20238103,Jonathan Maffo,jonathan.maffo@live.fr,BMS,IBS,2
ICTU20218629,Rosalie Toukam,rosalie_toukam@outlook.com,BMS,MGT,4
ICTU20227739,Alexis Ngameni,alexis_ngameni93@icloud.com,BMS,MKT,3
ICTU20243912,Genevieve Tagne,genevieve.tagne@yahoo.com,BMS,MGT,1
ICTU20236623,Florent Fomekong,florent_fomekong8@yahoo.fr,BMS,FIN,2
ICTU20223031,Marcelline Djiotsa,marcellinedjiotsa44@hotmail.com,BMS,LOG,3
ICTU20215590,Bertrand Kaptue,bertrand.kaptue@outlook.com,ICT,MIS,4
ICTU20215296,Valerie Ngounoue,valeriengounoue26@yahoo.fr,BMS,MGT,4
ICTU20214060,Cedric Lekeufack,cedric_lekeufack@icloud.com,ICT,CYS,4
ICTU20246784,Hortense Mekontso,hortense.mekontso35@gmail.com,ICT,SEN,1
ICTU20247433,Renaud Tchokonte,renaud.tchokonte@ictuniversity.edu.cm,ICT,CYS,1
ICTU20236168,Brigitte Nganwong,brigitte.nganwong20@gmail.com,ICT,CYS,2
ICTU20219385,Wilfried Pokam,wilfriedpokam76@yahoo.fr,ICT,ISN,4
ICTU20234158,Monique Yemele,monique_yemele12@yahoo.fr,ICT,CYS,2
ICTU20234750,Gaston Mbouendeu,gaston.mbouendeu31@yahoo.com,BMS,ENT,2
ICTU20211724,Philomene Nkwain,philomene.nkwain@ictuniversity.edu.cm,BMS,MGT,4
ICTU20239206,Achille Fofung,achillefofung13@live.fr,BMS,ACC,2
ICTU20244632,Celestine Nkemdirim,celestinenkemdirim86@yahoo.com,BMS,IBS,1
ICTU20245972,Desire Wirba,desire.wirba@ictuniversity.edu.cm,ICT,MIS,1
ICTU20234720,Alphonsine Che,alphonsine.che@ictuniversity.edu.cm,ICT,CSC,2
ICTU20241828,Patrice Ndikum,patrice_ndikum68@icloud.com,BMS,LOG,1
ICTU20215654,Immaculee Fomban,immaculee_fomban@yahoo.com,BMS,IBS,4
ICTU20215652,Janvier Tanyi,janviertanyi@icloud.com,BMS,FIN,4
ICTU20223712,Chantal Bih,chantalbih@outlook.com,BMS,IBS,3
ICTU20221328,Evariste Agbor,evariste.agbor@ictuniversity.edu.cm,ICT,CYS,3
ICTU20246172,Pascale Efeti,pascale_efeti@yahoo.com,BMS,ENT,1
ICTU20239984,Hubert Mbu,hubert.mbu@gmail.com,BMS,FIN,2
